Symbol,Date,Value
6f9be12993e8e64a1742388290,2024-12-24 07:00:00,0.395
6f9be12993e8e64a1742388290,2024-12-24 08:00:00,0.974
6f9be12993e8e64a1742388290,2024-12-24 09:00:00,0.964
6f9be12993e8e64a1742388290,2024-12-24 10:00:00,0.446
6f9be12993e8e64a1742388290,2024-12-24 11:00:00,0.322
6f9be12993e8e64a1742388290,2024-12-24 12:00:00,0.228
6f9be12993e8e64a1742388290,2024-12-24 13:00:00,0.69
6f9be12993e8e64a1742388290,2024-12-24 14:00:00,1.992
6f9be12993e8e64a1742388290,2024-12-24 15:00:00,1.107
6f9be12993e8e64a1742388290,2024-12-24 16:00:00,0.313
6f9be12993e8e64a1742388290,2024-12-24 17:00:00,1.249
6f9be12993e8e64a1742388290,2024-12-24 18:00:00,2.334
6f9be12993e8e64a1742388290,2024-12-24 19:00:00,0.547
6f9be12993e8e64a1742388290,2024-12-24 20:00:00,1.166
6f9be12993e8e64a1742388290,2024-12-24 21:00:00,1.132
6f9be12993e8e64a1742388290,2024-12-24 22:00:00,0.489
6f9be12993e8e64a1742388290,2024-12-24 23:00:00,1.521
30a9acf4c93990491742459874,2024-12-24 00:00:00,0.089
30a9acf4c93990491742459874,2024-12-24 01:00:00,0.078
30a9acf4c93990491742459874,2024-12-24 02:00:00,0.102
30a9acf4c93990491742459874,2024-12-24 03:00:00,0.099
30a9acf4c93990491742459874,2024-12-24 04:00:00,0.178
30a9acf4c93990491742459874,2024-12-24 05:00:00,0.071
30a9acf4c93990491742459874,2024-12-24 06:00:00,0.127
30a9acf4c93990491742459874,2024-12-24 07:00:00,0.523
30a9acf4c93990491742459874,2024-12-24 08:00:00,0.756
30a9acf4c93990491742459874,2024-12-24 09:00:00,1.491
30a9acf4c93990491742459874,2024-12-24 10:00:00,1.26
30a9acf4c93990491742459874,2024-12-24 11:00:00,0.738
30a9acf4c93990491742459874,2024-12-24 12:00:00,1.466
30a9acf4c93990491742459874,2024-12-24 13:00:00,2.622
30a9acf4c93990491742459874,2024-12-24 14:00:00,1.806
30a9acf4c93990491742459874,2024-12-24 15:00:00,0.788
30a9acf4c93990491742459874,2024-12-24 16:00:00,0.356
30a9acf4c93990491742459874,2024-12-24 17:00:00,0.418
30a9acf4c93990491742459874,2024-12-24 18:00:00,1.357
30a9acf4c93990491742459874,2024-12-24 19:00:00,0.494
30a9acf4c93990491742459874,2024-12-24 20:00:00,0.264
30a9acf4c93990491742459874,2024-12-24 21:00:00,0.248
30a9acf4c93990491742459874,2024-12-24 22:00:00,0.056
30a9acf4c93990491742459874,2024-12-24 23:00:00,0.074
0c3b30cd247fe6ff1742854250,2024-12-24 00:00:00,0.076
0c3b30cd247fe6ff1742854250,2024-12-24 01:00:00,0.077
0c3b30cd247fe6ff1742854250,2024-12-24 02:00:00,0.095
0c3b30cd247fe6ff1742854250,2024-12-24 03:00:00,0.107
0c3b30cd247fe6ff1742854250,2024-12-24 04:00:00,0.044
0c3b30cd247fe6ff1742854250,2024-12-24 05:00:00,0.042
0c3b30cd247fe6ff1742854250,2024-12-24 06:00:00,0.041
0c3b30cd247fe6ff1742854250,2024-12-24 07:00:00,0.043
0c3b30cd247fe6ff1742854250,2024-12-24 08:00:00,0.048
0c3b30cd247fe6ff1742854250,2024-12-24 09:00:00,0.048
0c3b30cd247fe6ff1742854250,2024-12-24 10:00:00,0.045
